Fecha medida,Código,Nivel medio diario (m)
2015-03-03,EA-063-PR,0.040
2015-03-03,EA-112-TOT,
2015-03-03,EA-117-TOT,
2015-03-03,EA-430B,
2015-03-04,EA-001,0.480
2015-03-04,EA-007,
2015-03-04,EA-013-TOT,
2015-03-04,EA-021-PR,0.090
2015-03-04,EA-062-TOT,
2015-03-04,EA-063-PR,0.030
2015-03-04,EA-112-TOT,
2015-03-04,EA-117-TOT,
2015-03-04,EA-430B,
2015-03-05,EA-001,0.480
2015-03-05,EA-007,
2015-03-05,EA-013-TOT,
2015-03-05,EA-021-PR,0.090
2015-03-05,EA-062-TOT,
2015-03-05,EA-063-PR,0.030
2015-03-05,EA-112-TOT,
2015-03-05,EA-117-TOT,
2015-03-05,EA-430B,
2015-03-06,EA-001,0.480
2015-03-06,EA-007,
2015-03-06,EA-013-TOT,
2015-03-06,EA-021-PR,0.100
2015-03-06,EA-062-TOT,
2015-03-06,EA-063-PR,0.020
2015-03-06,EA-112-TOT,
2015-03-06,EA-117-TOT,
2015-03-06,EA-430B,
2015-03-07,EA-001,0.370
2015-03-07,EA-007,
2015-03-07,EA-013-TOT,
2015-03-07,EA-021-PR,0.070
2015-03-07,EA-062-TOT,
2015-03-07,EA-063-PR,0.020
2015-03-07,EA-112-TOT,
2015-03-07,EA-117-TOT,
2015-03-07,EA-430B,
2015-03-08,EA-001,0.420
2015-03-08,EA-007,
2015-03-08,EA-013-TOT,
2015-03-08,EA-021-PR,0.070
2015-03-08,EA-062-TOT,
2015-03-08,EA-063-PR,0.110
2015-03-08,EA-112-TOT,
2015-03-08,EA-117-TOT,
2015-03-08,EA-430B,
2015-03-09,EA-001,0.480
2015-03-09,EA-007,
2015-03-09,EA-013-TOT,
2015-03-09,EA-021-PR,0.130
2015-03-09,EA-062-TOT,
2015-03-09,EA-063-PR,0.130
2015-03-09,EA-112-TOT,
2015-03-09,EA-117-TOT,
2015-03-09,EA-430B,
2015-03-10,EA-001,0.480
2015-03-10,EA-007,
2015-03-10,EA-013-TOT,
2015-03-10,EA-021-PR,0.130
2015-03-10,EA-062-TOT,
2015-03-10,EA-063-PR,0.160
2015-03-10,EA-112-TOT,
2015-03-10,EA-117-TOT,
2015-03-10,EA-430B,
2015-03-11,EA-001,0.480
2015-03-11,EA-007,
2015-03-11,EA-013-TOT,
2015-03-11,EA-021-PR,0.140
2015-03-11,EA-062-TOT,
2015-03-11,EA-063-PR,0.140
2015-03-11,EA-112-TOT,
2015-03-11,EA-117-TOT,
2015-03-11,EA-430B,
2015-03-12,EA-001,0.480
2015-03-12,EA-007,
2015-03-12,EA-013-TOT,
2015-03-12,EA-021-PR,0.150
2015-03-12,EA-062-TOT,
2015-03-12,EA-063-PR,0.190
2015-03-12,EA-112-TOT,
2015-03-12,EA-117-TOT,
2015-03-12,EA-430B,
2015-03-13,EA-001,0.480
2015-03-13,EA-007,
2015-03-13,EA-013-TOT,
2015-03-13,EA-021-PR,0.150
2015-03-13,EA-062-TOT,
2015-03-13,EA-063-PR,0.200
2015-03-13,EA-112-TOT,
2015-03-13,EA-117-TOT,
2015-03-13,EA-430B,
2015-03-14,EA-001,0.480
2015-03-14,EA-007,
2015-03-14,EA-013-TOT,
2015-03-14,EA-021-PR,0.140
2015-03-14,EA-062-TOT,
2015-03-14,EA-063-PR,0.190
2015-03-14,EA-112-TOT,
2015-03-14,EA-117-TOT,
2015-03-14,EA-430B,
2015-03-15,EA-001,0.480
2015-03-15,EA-007,
2015-03-15,EA-013-TOT,
2015-03-15,EA-021-PR,0.130
2015-03-15,EA-062-TOT,
2015-03-15,EA-063-PR,0.190
2015-03-15,EA-112-TOT,
2015-03-15,EA-117-TOT,
2015-03-15,EA-430B,
2015-03-16,EA-001,0.410
2015-03-16,EA-007,
2015-03-16,EA-013-TOT,
2015-03-16,EA-021-PR,0.130
2015-03-16,EA-062-TOT,
2015-03-16,EA-063-PR,0.190
2015-03-16,EA-112-TOT,
2015-03-16,EA-117-TOT,
2015-03-16,EA-430B,
2015-03-17,EA-001,0.440
2015-03-17,EA-007,
2015-03-17,EA-013-TOT,
2015-03-17,EA-021-PR,0.140
2015-03-17,EA-062-TOT,
2015-03-17,EA-063-PR,0.220
2015-03-17,EA-112-TOT,
2015-03-17,EA-117-TOT,
2015-03-17,EA-430B,
2015-03-18,EA-001,0.480
2015-03-18,EA-007,
2015-03-18,EA-013-TOT,
2015-03-18,EA-021-PR,0.220
2015-03-18,EA-062-TOT,
2015-03-18,EA-063-PR,0.270
2015-03-18,EA-112-TOT,
2015-03-18,EA-117-TOT,
2015-03-18,EA-430B,
2015-03-19,EA-001,0.480
2015-03-19,EA-007,
2015-03-19,EA-013-TOT,
2015-03-19,EA-021-PR,0.230
2015-03-19,EA-062-TOT,
2015-03-19,EA-063-PR,0.280
2015-03-19,EA-112-TOT,
2015-03-19,EA-117-TOT,
2015-03-19,EA-430B,
2015-03-20,EA-001,0.480
2015-03-20,EA-007,
2015-03-20,EA-013-TOT,
2015-03-20,EA-021-PR,0.230
2015-03-20,EA-062-TOT,
2015-03-20,EA-063-PR,0.270
2015-03-20,EA-112-TOT,
2015-03-20,EA-117-TOT,
2015-03-20,EA-430B,
2015-03-21,EA-001,0.480
2015-03-21,EA-007,
2015-03-21,EA-013-TOT,
2015-03-21,EA-021-PR,0.280
2015-03-21,EA-062-TOT,
2015-03-21,EA-063-PR,0.270
2015-03-21,EA-112-TOT,
2015-03-21,EA-117-TOT,
2015-03-21,EA-430B,
2015-03-22,EA-001,0.490
2015-03-22,EA-007,
2015-03-22,EA-013-TOT,
2015-03-22,EA-021-PR,0.250
2015-03-22,EA-062-TOT,
2015-03-22,EA-063-PR,0.350
2015-03-22,EA-112-TOT,
2015-03-22,EA-117-TOT,
2015-03-22,EA-430B,
2015-03-23,EA-001,0.490
2015-03-23,EA-007,
2015-03-23,EA-013-TOT,
2015-03-23,EA-021-PR,0.270
2015-03-23,EA-062-TOT,
2015-03-23,EA-063-PR,0.410
2015-03-23,EA-112-TOT,
2015-03-23,EA-117-TOT,
2015-03-23,EA-430B,
2015-03-24,EA-001,0.490
2015-03-24,EA-007,
2015-03-24,EA-013-TOT,
2015-03-24,EA-021-PR,0.340
2015-03-24,EA-062-TOT,
2015-03-24,EA-063-PR,0.450
2015-03-24,EA-112-TOT,
2015-03-24,EA-117-TOT,
2015-03-24,EA-430B,
2015-03-25,EA-001,0.490
2015-03-25,EA-007,
2015-03-25,EA-013-TOT,
2015-03-25,EA-021-PR,0.280
2015-03-25,EA-062-TOT,
2015-03-25,EA-063-PR,0.380
2015-03-25,EA-112-TOT,
2015-03-25,EA-117-TOT,
2015-03-25,EA-430B,
2015-03-26,EA-001,0.490
2015-03-26,EA-007,
2015-03-26,EA-013-TOT,
2015-03-26,EA-021-PR,0.250
2015-03-26,EA-062-TOT,
2015-03-26,EA-063-PR,0.360
2015-03-26,EA-112-TOT,
2015-03-26,EA-117-TOT,
2015-03-26,EA-430B,
2015-03-27,EA-001,0.490
2015-03-27,EA-007,
2015-03-27,EA-013-TOT,
2015-03-27,EA-021-PR,0.240
2015-03-27,EA-062-TOT,
2015-03-27,EA-063-PR,0.350
2015-03-27,EA-112-TOT,
2015-03-27,EA-117-TOT,
2015-03-27,EA-430B,
2015-03-28,EA-001,0.490
2015-03-28,EA-007,
2015-03-28,EA-013-TOT,
2015-03-28,EA-021-PR,0.240
2015-03-28,EA-062-TOT,
2015-03-28,EA-063-PR,0.350
2015-03-28,EA-112-TOT,
2015-03-28,EA-117-TOT,
2015-03-28,EA-430B,
2015-03-29,EA-001,0.490
2015-03-29,EA-007,
2015-03-29,EA-013-TOT,
2015-03-29,EA-021-PR,0.230
2015-03-29,EA-062-TOT,
2015-03-29,EA-063-PR,0.340
2015-03-29,EA-112-TOT,
2015-03-29,EA-117-TOT,
2015-03-29,EA-430B,
2015-03-30,EA-001,0.490
2015-03-30,EA-007,
2015-03-30,EA-013-TOT,
2015-03-30,EA-021-PR,0.220
2015-03-30,EA-062-TOT,
2015-03-30,EA-063-PR,0.320
2015-03-30,EA-112-TOT,
2015-03-30,EA-117-TOT,
2015-03-30,EA-430B,
2015-03-31,EA-001,0.490
2015-03-31,EA-007,
2015-03-31,EA-013-TOT,
2015-03-31,EA-021-PR,0.200
2015-03-31,EA-062-TOT,
2015-03-31,EA-063-PR,0.310
2015-03-31,EA-112-TOT,
2015-03-31,EA-117-TOT,
2015-03-31,EA-430B,
2015-04-01,EA-001,0.490
2015-04-01,EA-007,
2015-04-01,EA-013-TOT,
2015-04-01,EA-021-PR,0.180
2015-04-01,EA-062-TOT,
2015-04-01,EA-063-PR,0.250
2015-04-01,EA-112-TOT,
2015-04-01,EA-117-TOT,
2015-04-01,EA-430B,
2015-04-02,EA-001,0.490
2015-04-02,EA-007,
2015-04-02,EA-013-TOT,
2015-04-02,EA-021-PR,0.190
2015-04-02,EA-062-TOT,
2015-04-02,EA-063-PR,0.280
2015-04-02,EA-112-TOT,
2015-04-02,EA-117-TOT,
2015-04-02,EA-430B,
2015-04-03,EA-001,0.490
2015-04-03,EA-007,
2015-04-03,EA-013-TOT,
2015-04-03,EA-021-PR,0.210
2015-04-03,EA-062-TOT,
2015-04-03,EA-063-PR,0.300
2015-04-03,EA-112-TOT,
2015-04-03,EA-117-TOT,
2015-04-03,EA-430B,
2015-04-04,EA-001,0.490
2015-04-04,EA-007,
