fec_medida,codigo,evapor_diaria_m3,desague_diario_m3,altura_diaria_m,superf_diaria_m2,aport_diaria_m3,volumen_diario_m3
2015-02-24,EB-006,31013.0,604800.0,57.0,6329246.0,1208302.0,127532940.0
2015-02-24,EB-009,121617.0,216000.0,73.0,14307872.0,767602.0,327454620.0
2015-02-24,EB-010,13708.0,1260576.0,29.0,2323409.0,1569842.0,20556285.0
2015-02-25,EB-004,0.0,1555200.0,33.0,2591508.0,1400827.0,25368923.0
2015-02-25,EB-006,22822.0,604800.0,57.0,6339460.0,1009281.0,127914599.0
2015-02-25,EB-009,110269.0,216000.0,73.0,14320586.0,756254.0,327884605.0
2015-02-25,EB-010,11927.0,1270080.0,29.0,2338612.0,1568114.0,20842392.0
2015-02-26,EB-004,10341.0,1512000.0,33.0,2585355.0,1367968.0,25214550.0
2015-02-26,EB-006,19679.0,665280.0,57.0,6347972.0,1003009.0,128232649.0
2015-02-26,EB-009,100363.0,138240.0,74.0,14337538.0,811916.0,328457918.0
2015-02-26,EB-010,11998.0,1251072.0,29.0,2352548.0,1525334.0,21104656.0
2015-02-27,EB-004,0.0,1641600.0,33.0,2573049.0,1332855.0,24905805.0
2015-02-27,EB-006,21618.0,691200.0,57.0,6358187.0,1094477.0,128614308.0
2015-02-27,EB-009,106255.0,129600.0,74.0,14358728.0,952497.0,329174560.0
2015-02-27,EB-010,13002.0,1428192.0,29.0,2363950.0,1655774.0,21319236.0
2015-02-28,EB-004,0.0,1686528.0,32.0,2558692.0,1326325.0,24545602.0
2015-02-28,EB-006,22926.0,682560.0,57.0,6368401.0,1087145.0,128995967.0
2015-02-28,EB-009,93442.0,138240.0,74.0,14375680.0,804995.0,329747873.0
2015-02-28,EB-010,107.0,1425600.0,29.0,2377886.0,1698564.0,21581500.0
2015-03-01,EB-004,0.0,1718496.0,32.0,2544334.0,1358293.0,24185399.0
2015-03-01,EB-006,18498.0,678240.0,57.0,6378615.0,1078398.0,129377627.0
2015-03-01,EB-009,71963.0,146880.0,74.0,14392632.0,792156.0,330321186.0
2015-03-01,EB-010,8137.0,1434240.0,30.0,2393089.0,1728484.0,21867607.0
2015-03-02,EB-004,0.0,1626048.0,32.0,2535105.0,1394489.0,23953840.0
2015-03-02,EB-006,25542.0,604800.0,57.0,6385425.0,884781.0,129632066.0
2015-03-02,EB-009,57621.0,216000.0,74.0,14405346.0,703606.0,330751171.0
2015-03-02,EB-010,10067.0,1555200.0,30.0,2396890.0,1636794.0,21939134.0
2015-03-03,EB-004,0.0,1555200.0,32.0,2526901.0,1349370.0,23748010.0
2015-03-03,EB-006,15981.0,691200.0,57.0,6392235.0,961621.0,129886506.0
