"Fec. medida","Código","Evapor. diaria (m³)","Desagüe diario (m³)","Altura diaria (m)","Superf. diaria (m2)","Aport. diaria (m³)","Volumen diario (m³)"
"28/02/2015","EB-009","93.442","138.240","74","14.375.680","804.995","329.747.873"
"28/02/2015","EB-010","10.700","1.425.600","29","2.377.886","1.698.564","21.581.500"
"01/03/2015","EB-004","0","1.718.496","32","2.544.334","1.358.293","24.185.399"
"01/03/2015","EB-006","18.498","678.240","57","6.378.615","1.078.398","129.377.627"
"01/03/2015","EB-009","71.963","146.880","74","14.392.632","792.156","330.321.186"
"01/03/2015","EB-010","8.137","1.434.240","30","2.393.089","1.728.484","21.867.607"
"02/03/2015","EB-004","0","1.626.048","32","2.535.105","1.394.489","23.953.840"
"02/03/2015","EB-006","25.542","604.800","57","6.385.425","884.781","129.632.066"
"02/03/2015","EB-009","57.621","216.000","74","14.405.346","703.606","330.751.171"
"02/03/2015","EB-010","10.067","1.555.200","30","2.396.890","1.636.794","21.939.134"
"03/03/2015","EB-004","0","1.555.200","32","2.526.901","1.349.370","23.748.010"
"03/03/2015","EB-006","15.981","691.200","57","6.392.235","961.621","129.886.506"
"03/03/2015","EB-009","63.458","129.600","74","14.422.298","766.371","331.324.484"
"03/03/2015","EB-010","9.099","1.603.584","30","2.394.356","1.564.998","21.891.449"
"04/03/2015","EB-004","0","1.555.200","32","2.517.458","1.327.851","23.520.661"
"04/03/2015","EB-006","26.855","604.800","57","6.393.937","695.265","129.950.116"
"04/03/2015","EB-009","101.045","216.000","74","14.435.012","747.030","331.754.469"
"04/03/2015","EB-010","15.547","1.603.584","30","2.391.822","1.571.447","21.843.765"
"05/03/2015","EB-004","0","1.631.232","32","2.507.748","1.409.144","23.298.573"
"05/03/2015","EB-006","17.913","686.880","57","6.397.342","832.013","130.077.336"
"05/03/2015","EB-009","54.917","164.160","74","14.451.964","792.390","332.327.782"
"05/03/2015","EB-010","7.638","1.728.000","30","2.386.754","1.640.269","21.748.396"
"06/03/2015","EB-004","0","1.605.312","32","2.496.960","1.358.549","23.051.810"
"06/03/2015","EB-006","19.202","665.280","57","6.400.747","811.702","130.204.556"
"06/03/2015","EB-009","21.703","138.240","74","14.468.916","733.256","332.901.095"
"06/03/2015","EB-010","9.289","1.702.080","29","2.381.687","1.616.000","21.653.027"
"07/03/2015","EB-004","0","1.641.600","32","2.506.670","1.863.687","23.273.897"
"07/03/2015","EB-006","24.362","570.240","57","6.410.961","976.261","130.586.215"
"07/03/2015","EB-009","75.327","138.240","74","14.485.868","786.880","333.474.408"
"07/03/2015","EB-010","10.463","1.714.176","29","2.377.886","1.653.112","21.581.500"
"08/03/2015","EB-004","0","1.615.680","32","2.526.901","2.089.793","23.748.010"
"08/03/2015","EB-006","16.027","302.400","57","6.410.961","318.427","130.586.215"
"08/03/2015","EB-009","52.180","138.240","74","14.494.344","477.077","333.761.065"
"08/03/2015","EB-010","6.403","1.736.640","29","2.371.551","1.623.832","21.462.289"
"09/03/2015","EB-004","0","1.654.560","32","2.546.385","2.143.407","24.236.857"
"09/03/2015","EB-006","17.310","475.200","57","6.410.961","492.510","130.586.215"
"09/03/2015","EB-009","44.972","138.240","74","14.507.058","613.196","334.191.049"
"09/03/2015","EB-010","7.340","1.728.000","29","2.367.751","1.663.814","21.390.763"
"10/03/2015","EB-004","0","1.607.040","32","2.563.819","2.044.429","24.674.246"
"10/03/2015","EB-006","19.879","648.000","57","6.412.664","731.489","130.649.825"
"10/03/2015","EB-009","58.096","129.600","74","14.524.010","761.010","334.764.363"
"10/03/2015","EB-010","8.265","1.728.000","29","2.361.416","1.617.054","21.271.552"
"11/03/2015","EB-004","0","1.319.760","33","2.593.559","2.065.895","25.420.381"
"11/03/2015","EB-006","24.362","691.200","57","6.410.961","651.952","130.586.215"
"11/03/2015","EB-009","94.461","518.400","74","14.532.486","899.517","335.051.019"
"11/03/2015","EB-010","10.626","1.321.920","29","2.361.416","1.332.546","21.271.552"
"12/03/2015","EB-004","0","1.209.600","33","2.626.467","2.035.017","26.245.798"
"12/03/2015","EB-006","27.574","691.200","57","6.412.664","782.384","130.649.825"
"12/03/2015","EB-009","100.333","518.400","74","14.540.962","905.390","335.337.676"
"12/03/2015","EB-010","13.231","1.188.000","29","2.362.683","1.225.073","21.295.394"
"13/03/2015","EB-004","0","1.252.800","33","2.657.524","2.029.331","27.022.329"
"13/03/2015","EB-006","15.390","578.880","57","6.412.664","594.270","130.649.825"
"13/03/2015","EB-009","56.710","596.160","74","14.540.962","652.870","335.337.676"
"13/03/2015","EB-010","8.278","1.206.144","29","2.365.217","1.262.106","21.343.078"
"14/03/2015","EB-004","0","1.252.800","33","2.656.453","1.226.023","26.995.552"
"14/03/2015","EB-006","20.515","639.360","57","6.410.961","596.265","130.586.215"
"14/03/2015","EB-009","61.090","544.320","74","14.545.200","748.738","335.481.004"
