"Fecha medida","Código","Nivel medio diario (m)"
"17/03/2015","EA-062-TOT",""
"17/03/2015","EA-063-PR","0,22"
"17/03/2015","EA-112-TOT",""
"17/03/2015","EA-117-TOT",""
"17/03/2015","EA-430B",""
"18/03/2015","EA-001","0,48"
"18/03/2015","EA-007",""
"18/03/2015","EA-013-TOT",""
"18/03/2015","EA-021-PR","0,22"
"18/03/2015","EA-062-TOT",""
"18/03/2015","EA-063-PR","0,27"
"18/03/2015","EA-112-TOT",""
"18/03/2015","EA-117-TOT",""
"18/03/2015","EA-430B",""
"19/03/2015","EA-001","0,48"
"19/03/2015","EA-007",""
"19/03/2015","EA-013-TOT",""
"19/03/2015","EA-021-PR","0,23"
"19/03/2015","EA-062-TOT",""
"19/03/2015","EA-063-PR","0,28"
"19/03/2015","EA-112-TOT",""
"19/03/2015","EA-117-TOT",""
"19/03/2015","EA-430B",""
"20/03/2015","EA-001","0,48"
"20/03/2015","EA-007",""
"20/03/2015","EA-013-TOT",""
"20/03/2015","EA-021-PR","0,23"
"20/03/2015","EA-062-TOT",""
"20/03/2015","EA-063-PR","0,27"
"20/03/2015","EA-112-TOT",""
"20/03/2015","EA-117-TOT",""
"20/03/2015","EA-430B",""
"21/03/2015","EA-001","0,48"
"21/03/2015","EA-007",""
"21/03/2015","EA-013-TOT",""
"21/03/2015","EA-021-PR","0,28"
"21/03/2015","EA-062-TOT",""
"21/03/2015","EA-063-PR","0,27"
"21/03/2015","EA-112-TOT",""
"21/03/2015","EA-117-TOT",""
"21/03/2015","EA-430B",""
"22/03/2015","EA-001","0,49"
"22/03/2015","EA-007",""
"22/03/2015","EA-013-TOT",""
"22/03/2015","EA-021-PR","0,25"
"22/03/2015","EA-062-TOT",""
"22/03/2015","EA-063-PR","0,35"
"22/03/2015","EA-112-TOT",""
"22/03/2015","EA-117-TOT",""
"22/03/2015","EA-430B",""
"23/03/2015","EA-001","0,49"
"23/03/2015","EA-007",""
"23/03/2015","EA-013-TOT",""
"23/03/2015","EA-021-PR","0,27"
"23/03/2015","EA-062-TOT",""
"23/03/2015","EA-063-PR","0,41"
"23/03/2015","EA-112-TOT",""
